name,calories,dietary,type,portion,image,prep_time,ingredients,instructions,protein,carbs,fat
Veg Korma,306,Vegetarian,Dinner,1 serving,/static/images/veg korma.jpg,22 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",12,32,17
Bhindi Masala,309,Vegetarian,Snacks,1 serving,/static/images/bhindi masala.jpeg,23 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",13,33,18
Mix Veg Curry,312,Vegetarian,Lunch,1 serving,/static/images/mix veg curry.jpeg,24 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",14,34,19
Methi Thepla,315,Vegetarian,Breakfast,1 serving,/static/images/methi thepla.jpeg,25 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",15,35,5
Poha,318,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,26 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",16,36,6
Upma,321,Vegetarian,Snacks,1 serving,/static/images/upma.jpeg,27 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",17,37,7
Dhokla,324,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,28 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",6,38,8
Khandvi,327,Vegetarian,Lunch,1 serving,/static/images/khandwi.jpeg,29 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",7,39,9
Aloo Paratha,330,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,30 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",8,40,10
Paneer Butter Masala,333,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,31 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",9,41,11
Veg Korma,336,Vegetarian,Lunch,1 serving,/static/images/veg korma.jpg,32 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",10,42,12
Bhindi Masala,339,Vegetarian,Lunch,1 serving,/static/images/bhindi masala.jpeg,33 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",11,43,13
Mix Veg Curry,342,Vegetarian,Dinner,1 serving,/static/images/mix veg curry.jpeg,34 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",12,44,14
Methi Thepla,345,Vegetarian,Snacks,1 serving,/static/images/methi thepla.jpeg,35 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",13,45,15
Poha,348,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,36 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",14,46,16
Upma,351,Vegetarian,Breakfast,1 serving,/static/images/upma.jpeg,37 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",15,47,17
Dhokla,354,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,38 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",16,48,18
Khandvi,357,Vegetarian,Snacks,1 serving,/static/images/khandwi.jpeg,39 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",17,49,19
Aloo Paratha,360,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,40 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",6,50,5
Paneer Butter Masala,363,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,41 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",7,51,6
Veg Korma,366,Vegetarian,Dinner,1 serving,/static/images/veg korma.jpg,42 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",8,52,7
Bhindi Masala,369,Vegetarian,Snacks,1 serving,/static/images/bhindi masala.jpeg,43 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",9,53,8
Mix Veg Curry,372,Vegetarian,Lunch,1 serving,/static/images/mix veg curry.jpeg,44 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",10,54,9
Methi Thepla,375,Vegetarian,Breakfast,1 serving,/static/images/methi thepla.jpeg,45 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",11,55,10
Poha,378,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,46 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",12,56,11
Upma,381,Vegetarian,Snacks,1 serving,/static/images/upma.jpeg,47 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",13,57,12
Dhokla,384,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,48 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",14,58,13
Khandvi,387,Vegetarian,Lunch,1 serving,/static/images/khandwi.jpeg,49 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",15,59,14
Aloo Paratha,390,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,50 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",16,60,15
Paneer Butter Masala,393,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,51 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",17,61,16
Veg Korma,396,Vegetarian,Lunch,1 serving,/static/images/veg korma.jpg,52 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",6,62,17
